問い合わせ文,応答文
自宅PCは複数端末利用できる？,"1台までです。
初回接続した端末で固定されます。
端末を変更したい場合は窓口までご連絡ください。
（端末固定を解除します。）"
D.e-Connect配布後も、自宅PCはプライベート利用できる？,"プライベート利用可能です。
D.e-Connectは会社PC・自宅PC間で画面情報・操作情報のみやり取りするため、
自宅PCに業務データを残さない仕様となっております。"
D.e-Connect利用中、会社PC内のデータを自宅PCへコピーできる？,"コピーできません。
接続元PC・接続先PC間のデータ移動はできない仕様となっております。"
D.e-Connectで会社PCに接続し、さらに会社PCから別のPCへリモートデスクトップすることはできる？,"可能です。
※但しCAD機などにはリモートできません。"
自宅PCがWindows7ですが、D.e-Connectはサポート終了後でも利用る？,Windows7のOSサポート終了に伴いエラー、動作不良が起こった場合対応できかねますのでご了承ください。
在宅勤務前にD.e-Connectが接続できるかテストをしたいが、業務扱いになる？,"業務扱いになります。
勤怠システムにご登録ください。"
同意書に「自宅PCにウイルス対策ソフトを導入していること」とありますが、ソフトの指定はある？,"・ウイルス対策ソフトについては特に指定はございません。
　Windows10の場合は「WindowsDefender」が標準装備で
　インストールされている為そのままご利用頂けます。
・Macについては、案内できる情報を持ち合わせておりません"
D.e-Connectでは何故Skypeビデオ通話が利用不可なの？,"リモートデスクトップの仕様上、映像を送ることができません。
音声のみ利用可能です。"
D.e-Connectで、会社PCの設定で休止状態の項目が見当たらない,休止状態の設定ができない端末がある為、スリープの項目を設定ください。
D.e-ConnectでRPAの開発はできる？,"可能になります。
ただし回線が不安定な場合に動作が不安定になる場合がございます。"
リモート接続が認められていないソフト/アプリの利用が不可とありますが、不可のアプリについてまとめたサイトなどはある？,"ソフト、アプリについては数が多く検証できない為、現在一覧のページ等はございません。
各ソフト主管部署の担当者（OA担当）へご確認ください。"
IPアドレス固定のアプリは利用可能？,"利用可能です。
D.e-Connectは自宅PCから会社PCにリモートデスクトップし、
会社PCを操作してご利用頂くツールになる為、ご利用が可能です。"
D.e-Connect接続中、会社PCから音声は出る？,"D.e-Connect接続中は自宅PCで音声が再生されます。
会社PCからは音声が出ることはございません。"
D.e-Connectの使い方について（利用申請/マニュアル/窓口）,"D.e-Connectの利用申請や使い方と窓口についてですね、
---
＜利用申請＞
[こちら](https://t365cs.sharepoint.com/sites/TS-ALL/A040_/B110_情報システム帳票/C030_利用許可申請)に格納されている以下の申請書を、受付窓口まで提出をお願いします。
利用終了も以下の申請書で対応しています。

ファイル名：在宅ツール手配依頼（従業員等用）.xlsx
 　　　　　　　在宅ツール手配依頼（委託社員用）.xlsx

***【受付窓口】***
TS-PC 運用窓口
[ts-pc@ml.toyotasystems.com](mailto:ts-pc@ml.toyotasystems.com)
---
＜インストール手順・マニュアル＞
[特別サイト](https://www.toyotasystems.com/service/ict/de-connect/dconts/ts_DeConnect.html)にありますので、ご確認ください。
　- ID：ts
　- PW：dconftl"
【インフラ分野限定】プロジェクト登録申請書はどこ？,"【インフラ分野限定】
プロジェクト登録申請書は[こちら](https://t365cs.sharepoint.com/sites/TS-WORK/DocLib1/インフラ分野共有/プロジェクトコード関連)です。"
"""後工程引き取り""とは？","""後工程引き取り""とはトヨタ生産方式の用語です。
後工程は必要な時に必要なものを必要なだけ前工程から引き取り、前工程は引き取られた分だけ生産する仕組みのことです。
ジャストインタイム（ＪＩＴ）生産の基本３原則の１つです。"
"""後補充""とは？","""後補充""とはトヨタ生産方式の用語です。
各工程は後工程に引き取られた分だけ種類ごとに製造補充し、最小限の完成品在庫を持つ方法のことです。
在庫量が少ないほどその工程の実力は高いとされています。"
"""アンドン""とは？","""アンドン""とはトヨタ生産方式の用語です。
関係者へのアクションを促す情報の窓で、現時点の異常場所を一目で判断できるようにした電光掲示盤のことです。
また、異常表示のほか、品質チェック、刃具交換、部品運搬などの作業指示や進度表示をするものもあります。"
"""1個流し生産""とは？","""1個流し生産""とはトヨタ生産方式の用語です。
工程順に1個または1台ずつ加工、組み付けし、1個ずつ次工程に流すやり方のことです。"
"""稼働率（かせどう率）""とは？","""稼働率（かせどう率）""とはトヨタ生産方式の用語です。
後工程に必要な売り上げに結びついた生産量を加工するため、その設備能力でフル操業した時の定時能力に対する需要の割合のことです。
売れ行きによって変動し、100％以上にも以下にもなります。"
"""可動率（べきどう率）""とは？","""可動率（べきどう率）""とはトヨタ生産方式の用語です。
設備を運転したい時や、かんばんなどで生産指示があった時に正常に動いてくれる状態の確率のことです。
設備とその保全によってもたらされる信頼性に相当します。
常に100％が理想で、100％を超えることはありません。"
"""かんばん""とは？","""かんばん""とはトヨタ生産方式の用語です。
ジャストインタイム生産を実現するための管理の道具のことです。
かんばんの種類として、
　・仕掛けかんばん
　・工程内かんばん
　・信号かんばん
　・引き取りかんばん
　・工程間引き取りかんばん
　・外注部品納入かんばん
　・臨時かんばん
などがあります。"
"""仕掛けかんばん""とは？","""仕掛けかんばん""とはトヨタ生産方式の用語です。
生産工程での生産着手（仕掛け）指示に使うかんばんのことです。
工程内かんばんと信号かんばんがあります。"
"""工程内かんばん""とは？","""工程内かんばん""とはトヨタ生産方式の用語です。
工程内の仕掛け指示に用いるかんばんのことです。
後工程に引き取られた量を引き取った順に後補充生産するよう仕掛けるための指示に用いられます。"
"""信号かんばん""とは？","""信号かんばん""とはトヨタ生産方式の用語です。
1つのラインで多種類の品物を加工しており、段取り替えに若干の時間を要するロット生産工程での仕掛けに使用されます。
形状から三角かんばんとも呼ばれます。
プレス、ダイキャスト、樹脂成形工程等で用いられます。"
"""引き取りかんばん""とは？","""引き取りかんばん""とはトヨタ生産方式の用語です。
後工程が前工程へ部品を引き取りに行くタイミングと量を指示するかんばんのことです。
""工程間引き取りかんばん""や""外注部品引き取り（納入）かんばん""があります。"
"""工程間引き取りかんばん""とは？","""工程間引き取りかんばん""とはトヨタ生産方式の用語です。
社内で後工程が前工程から必要なものを引き取る際に用いる運搬かんばんのことです。"
"""外注部品納入かんばん""とは？","""外注部品納入かんばん""とはトヨタ生産方式の用語です。
仕入先から納入される部品に用いるかんばんのことです。
納入は仕入先が行うが、工程で外されたかんばんに応じて納入されるため、工程間引き取りかんばんと同じ後工程引き取りができます。"
"""臨時かんばん""とは？","""臨時かんばん""とはトヨタ生産方式の用語です。
型保全、機械設備の修理、稼働日の違いなどにより、通常の生産分より多く、必要な部品の生産および運搬を指示するかんばんのことです。
有効期限を明記し、1回だけ使用し、使用後は回収されます。
赤色の斜線を入れて通常のかんばんと識別します。"
"""かんばんサイクル""とは？","""かんばんサイクル""とはトヨタ生産方式の用語です。
部品の納入頻度（何日に何回）とかんばんを持ち帰った便から何回遅れで納入されるかを取り決めたものです。
かんばんサイクルは納入サイクル、かんばん係数とも呼ばれます。
　[表示例] 1-4-2 ⇒ 1日に4回納入され2回遅れ便で納入"
"""工程の流れ化""とは？","""工程の流れ化""とはトヨタ生産方式の用語です。
工程内、工程間での停滞を無くし、1個流し生産を行うようにすることです。
ジャストインタイム生産実現のための基本三原則の一つです。"
"""混載運搬""とは？","""混載運搬""とはトヨタ生産方式の用語です。
1台の車両に多種類の部品を積載して運搬することです。
運搬効率を低下させず運搬車両のトータルとしての運行回数を増やすことなく多回運搬ができ、前後工程の在庫量を少なくすることができます。
また、生産変動に対し、運行回数の増減も可能となります。"
"""作業標準""とは？","""作業標準""とはトヨタ生産方式の用語です。
標準作業を現場で正しく運営する上で、工程図、品質チェック標準、QC工程表や安全標準を基に、質、量、コスト、安全を確保できる作業のやり方や条件を標準化したものの総称です。
作業要領書、作業指導書、品質チェック要領書、刃具取り替え作業要領書などがある。"
"""自働化""とは？","""自働化""とはトヨタ生産方式の用語です。
機械設備の異常、品質の異常、作業遅れなど何らかの異常が生じた際に、機械設備が自ら検知し、自働停止したり、作業者自身が停止スイッチを押してラインを止めることができる機能のことです。
不良の流出がなくなると共に、異常が明確にわかり再発防止を図ることができるため、品質を工程でつくり込むことが可能となります。
更に、異常が発生した場合は自動停止するため設備の見張りが不要となり、省人化、工数低減が可能です。
トヨタ生産方式の2本の柱の1つです。"
"""ジャストインタイム（JIT）""とは？","""ジャストインタイム（JIT）""とはトヨタ生産方式の用語です。
変化に対応して経営効率を高めるために、必要なものを必要な時に必要な量だけ生産したり運搬したりする仕組みとその考え方です。
平準化を前提とし、後工程引き取り、工程の流れ化、必要数でタクトを決めることが基本原則です。
トヨタ生産方式の2本の柱の1つです。"
"""順引き""とは？","""順引き""とはトヨタ生産方式の用語です。
仕掛けられる製品や部品の順番が決まっている場合、前工程から順番通りに物を引き取ってくる方法のことです。
順序引き取りと言います。"
"""小人化""とは？","""小人化""とはトヨタ生産方式の用語です。
作業者数を固定的に考えず、必要生産数の増減に応じて人数を変動させても生産数が落ちないラインを作ることです。
また、作業者数を増減できず、一定数必要なラインを定員制ラインと言います。"
"""省人化""とは？","""省人化""とはトヨタ生産方式の用語です。
作業改善や設備改善により、人を一人省くことです。"
"""生産指示ビラ""とは？","""生産指示ビラ""とはトヨタ生産方式の用語です。
どの部品を取り付けるのか、部品の種類を記号化して車両、製品に貼り付ける指示紙のことです。
物と情報が一体化していることが利点です。"
生産のリードタイムとは？,"""生産のリードタイム""とはトヨタ生産方式の用語です。_x000D_
工場が受注してから製品の出荷準備完了までの時間のことです。_x000D_
　・該当製品の生産指示情報の滞留時間。_x000D_
　・該当製品の材料仕掛けから完成品に至るまでの時間。（加工時間＋停滞時間）_x000D_
　・該当製品の完成品の最初の1個（台）ができてから、後工程が引き取る数の完成品ができるまでの時間。_x000D_
　　（運搬数×該当製品の生産タクト）"
"""多回運搬""とは？","""多回運搬""とはトヨタ生産方式の用語です。
前後工程の在庫量を少なくするため、部品単位で見た場合の運搬頻度を多くする方法のことです。
積載効率を低下させずに多回運搬するには、混載運搬をして運搬車両の運行回数を増やさない配慮が必要です。"
"""タクトタイム""とは？","""タクトタイム""とはトヨタ生産方式の用語です。
部品1個または1台分を生産すべき時間値のことです。
「タクトタイム = 日当り稼働時間（定時）/日当り必要数」で計算されます。"
"""着工引き""とは？","""着工引き""とはトヨタ生産方式の用語です。
ボディの着工情報をもとに使用する部品のみを前工程に発注し引き取ることです。
余分な在庫を持たずにすみます。"
"""定位置停止方式""とは？","""定位置停止方式""とはトヨタ生産方式の用語です。
ライン方式において、トラブルを発見し、ライン停止用スイッチを引っ張った時にコンベアがその場ですぐ停止せず、定められた位置まで進んで停止する仕組みのことです。"
"""定時不定量運搬""とは？","""定時不定量運搬""とはトヨタ生産方式の用語です。
運搬量は定時時間内の消費量次第で不定で、定められた時間ごとに運搬する方法のことです。
運搬の方法としては、定量運搬が望ましいが遠隔地の場合には運行の都合上、この方法をとります。"
"""定量不定時運搬""とは？","""定量不定時運搬""とはトヨタ生産方式の用語です。
後工程の部品の使用が一定量に達したら、その時点で前工程へ引き取りに行く方法のことです。
運搬効率がよく工場内運搬の原則です。"
"""標準作業""とは？","""標準作業""とはトヨタ生産方式の用語です。
人の動きを中心にムダのない順序で効率的な生産をするやり方のことです。
タクトタイム、作業順序、標準手持ちの3要素からなります。"
"""平準化""とは？","""平準化""とはトヨタ生産方式の用語です。
生産する物の種類と量を平均化することです。
ジャストインタイムに生産するための前提条件です。"
"""ポカヨケ""とは？","""ポカヨケ""とはトヨタ生産方式の用語です。
品質不良の発生や機械設備の故障発生を防止するために異常の発生を防止したり、異常発生したらラインを止める、安価で信頼性の高い道具や工夫のことです。
作業者のミスを防止、ミスを発見し警告する仕組みや、品物に不具合があれば検知し、加工を止める仕組みなどです。"
"""まとめ供給""とは？","""まとめ供給""とはトヨタ生産方式の用語です。
各工程またはラインごとに1台分の部品をまとめて供給する方法のことです。"
"""ムダ""とは？","""ムダ""とはトヨタ生産方式の用語です。
生産現場で付加価値を生み出さず原価だけを高める生産の諸要素のことです。
「7つのムダ」は以下のムダです。
　1. 造り過ぎのムダ
　2. 手待ちのムダ
　3. 運搬のムダ
　4. 加工そのもののムダ
　5. 在庫のムダ
　6. 動作のムダ
　7. 不良品手直しのムダ"
"""目で見る管理""とは？","""目で見る管理""とはトヨタ生産方式の用語です。
管理監督者が見て即座に生産活動状態が正常か判断できる現場管理形態のことです。
目で見る管理の方法の代表としてアンドン、かんばん等があります。"
D.e-Connectがよく切れる,"D.e-Connectがよく切れることについてですね。
利用者の増加によりD.e-Connectサーバがひっ迫しているものと思われます。

以下の展開に沿って、皆さまに負荷軽減のご協力をお願いしております。
[【全社案内】（リマインド）在宅勤務におけるリモート会議について](http://portal.ac.toyotasystems.com/imart/collaboration/information/user/article/show/8fveng253plui3z)

リモートワークにて、ご負担をおかけしていることは認識しておりますが、
限られたリソースを多くの方で共有して利用している状況となりますので、
ご理解・ご協力いただけますと幸いです。"
T-WaveのURLが知りたい,T-WaveのURLは[こちら](https://tw.portal.toyota/)です。
あいちゃんのリマインド機能のリマインド時刻は？,"あいちゃんからのタスクのリマインド時刻は、以下の通りです。

- 対応：必須の場合
　- 期限の1週間前、3日前、前日の10:00
　- 期限当日の10:00, 14:00, 17:00
　- 期限後のタスクは毎日 10:00, 14:00, 16:00, 17:00

- 対応：任意の場合
　- 期限の1週間前、前日の10:00

ただし、Teamsの通信負荷状況により、メッセージ到着が遅れる場合があります。"
あいちゃんの誕生日は？,"私の誕生日は2018年2月です。
TDC（トヨタデジタルクルーズ）で生まれ、TDC社員の皆さんが投票で名前を決めてくださいました。"
あいちゃんのリマインド機能のマニュアルを見たい,"リマインド機能のマニュアルは[こちら](https://ai.toyotasystems.com/TipsSite/files/RemindFunction_Manual.pptx)です。

リマインド機能を使いたい場合や、うまく動かない場合は、あいちゃん担当窓口([aichan-support@tns.toyotasystems.com](mailto:aichan-support@tns.toyotasystems.com))までご連絡ください。
特に申請書等は不要です。"
労働組合について,"あいちゃんでは、労働組合については対象外としています。
お手数をおかけしますが、労働組合へ直接お問い合わせください。"
SPOにチャットボットを表示させたい,チャットボットを導入される場合や、SPOサイトにチャットボットを表示させたい場合は[va-support@ml.toyotasystems.com](mailto:va-support@ml.toyotasystems.com)までご連絡ください。
生成系AIの使い方について,"TS社内で利用可能な生成AIチャットツールは、[あいちゃん 1.9](https://aichan.azurewebsites.net/)をご利用ください。
ご利用前に[生成AIの適正利用にむけたガイドライン](https://t365cs.sharepoint.com/sites/TS-ALL/A030_/B010_社内規程/C110_情報システム規程/D140_生成AI/生成AIの適正利用にむけたガイドライン.pdf)を参照し、禁止事項等ご確認ください。
引き続き[「申告書」](https://forms.office.com/r/G8pBcbw61V)の提出をお願い致します。※Formsアンケート形式となっております。
※2023年11月より、TS社内で利用可能な生成AIチャットツールは、「えくすあい」から「あいちゃん 1.9」に切り替わります。"
TODO管理アプリの使い方教えて,TODO管理アプリの使い方は、[あいちゃん担当窓口](aichan-support@tns.toyotasystems.com)へお問い合わせください。
あいちゃんのQAを修正したい,"あいちゃんのQAを修正したい場合は、[あいちゃん担当窓口](aichan-support@tns.toyotasystems.com)へ、以下情報を記載の上お問い合わせください。
①送信メッセージ
②チャットボットの応答
③どのような内容をお聞きしたかったのか記載ください
④チャットボットの回答が、役に立たなかった理由を記載ください"
あいちゃんの使い方,"私（あいちゃん）の使い方をご説明します。

【使い方】
　・ご用件をメッセージで送ってください。
　　-メーリングリストの申請をしたい
　　-パワーポイントのテンプレートはどこ？
　・詳細は[使い方紹介サイト](https://ai.toyotasystems.com/TipsSite/howToUse.html)をご覧ください。

【お問合せ先】
　・あいちゃん担当窓口は[こちら](mailto:aichan-support@tns.toyotasystems.com)

【応対の終了】
　・私（あいちゃん）は応対の結果を学習し、より賢く成長します。
　　回答が表示されましたら、評価の入力をお願いします。
　・ブラウザの場合は、「×」ボタンをクリックしてください。"
Teamsの情報サイトについて,"Teamsに関する情報サイトは[こちら](https://t365cs.sharepoint.com/sites/TS-OA/SitePages/Teams.aspx)です。
マニュアルやFAQなどを集約しております。

情報統合サーバー(o365)>OAサイト>12_Teams"
チャットボットの導入事例を教えて,"トヨタシステムズは、トヨタG内各社へチャットボットを提供しています。
学習させるデータにより、様々なジャンルの問合せに対応できます。

2020年8月現在、以下の計8体のチャットボットが導入されています。
- TS
- TMC tOAC
- TMC サービス統括部 企画総括室
- TMC デジタル基盤開発部
- TMC ソリューションユニット部
- TMC 生技管理部
- TMC 第一エンジニアリング部 生技デジタル推進室
- TMK IT企画部"
チャットボット(あいちゃん)の導入効果は？,"あいちゃんの導入効果は
　・利用回数：約4,000 回/月
　・正答率　：約70%
です。"
チャットボット導入の流れは？,"チャットボットを導入される場合、[va-support@ml.toyotasystems.com](mailto:va-support@ml.toyotasystems.com)までご連絡ください。
以下の手順で、チャットボット導入および導入後のサポートをいたします。
1. ご説明・ヒアリング
2. 無料トライアル（2週間）
3. 見積もり・受注手続き
4. FAQ作成・登録
5. 号口展開"
チャットボットのリーフレットを見たい,チャットボットのリーフレットは[こちら](https://ai.toyotasystems.com/TipsSite/files/ChatBot_Leaflet_2020-08.pdf)からダウンロードしてください。
Teamsにあいちゃんを追加したい,"Teamに私（あいちゃん）を登録する方法は[こちら](https://ai.toyotasystems.com/TipsSite/files/HowToUseAichanWithTeams.pptx)をご確認ください。

【お問合せ先】
　・あいちゃん担当窓口は[こちら](mailto:aichan-support@tns.toyotasystems.com)"
M365ルールの詳細・連絡先を知りたい,"M365ルールは、業務効率の向上を目的に制定された、人によって異なりがちなTeams, Outlookなどの使い方を統一するルールです。
必須ルール・推奨ルール・マナーの3種類から構成されています。

ルールの詳細や関連資料は[こちら](https://t365cs.sharepoint.com/sites/TS-WSI-ALL/SitePages/告知/M365ルール化.aspx)をご覧ください。

【ルールのお問い合わせ先】
[働き方改革委員会　M365ルール定着活動事務局](mailto:ts-wsi@ml.toyotasystems.com)"
